,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
60,0.033,0.0068,0.026,0.15,0.1,3,1.5,0.02,0.4,0.075,8,0.4677,0.0175
61,0.033,0.034,0.078,0.75,0.5,3,0.75,0.1,2.0,0.225,40,0.4824,0.0421
62,0.033,0.034,0.078,0.45,0.5,15,0.15,0.06,2.0,0.075,8,0.485,0.0379
63,0.033,0.034,0.026,0.45,0.3,9,0.45,0.02,0.4,0.225,24,0.4907,0.2717
64,0.099,0.034,0.13,0.75,0.1,3,0.15,0.02,0.4,0.225,8,0.4984,0.0261
65,0.165,0.034,0.13,0.45,0.1,15,0.75,0.02,2.0,0.075,40,0.4985,0.0168
66,0.165,0.0204,0.026,0.45,0.3,3,0.45,0.1,1.2,0.225,40,0.5049,0.2377
67,0.033,0.0068,0.026,0.15,1.0,3,0.15,0.02,0.4,0.075,8,0.5111,0.0894
68,0.033,0.034,0.078,0.15,0.5,3,0.75,0.02,2.0,0.075,8,0.5125,0.0177
69,0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,2.0,0.225,24,0.5185,0.0253
70,0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,80,0.5294,0.0772
71,0.099,0.0068,0.026,0.45,0.3,9,0.75,0.02,0.4,0.375,40,0.5313,0.051
72,0.033,0.0204,0.026,0.45,0.5,3,0.15,0.1,1.2,0.225,8,0.5339,0.0275
73,0.033,0.0204,0.026,0.45,0.3,15,0.15,0.1,0.4,0.375,8,0.5341,0.0438
74,0.033,0.0068,0.026,0.15,0.1,3,0.75,0.1,2.0,0.225,8,0.5384,0.0941
75,0.099,0.0204,0.078,0.15,0.5,3,0.45,0.1,1.2,0.225,8,0.5511,0.0214
76,0.033,0.034,0.078,0.75,0.3,15,0.75,0.02,0.4,0.225,24,0.5634,0.0328
77,0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.75,8,0.5655,0.1227
78,0.033,0.0068,0.26,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.5674,0.121
79,0.165,0.0068,0.078,0.75,0.1,3,0.15,0.1,2.0,0.075,8,0.5738,0.0108
80,0.165,0.0204,0.078,0.75,0.5,3,0.15,0.1,1.2,0.075,40,0.5782,0.0197
