,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
260,0.033,0.034,0.026,0.45,0.1,15,0.15,0.1,2.0,0.075,40,0.6966,0.0716
261,0.033,0.034,0.026,0.75,0.1,15,0.15,0.02,2.0,0.225,40,0.466,0.2224
262,0.033,0.0204,0.026,0.75,0.1,15,0.15,0.06,2.0,0.225,40,0.4483,0.1659
263,0.099,0.034,0.078,0.75,0.1,15,0.15,0.06,1.2,0.075,40,0.253,0.1927
264,0.033,0.0068,0.078,0.75,0.3,15,0.15,0.06,2.0,0.075,40,1.1695,0.0453
265,0.165,0.0204,0.026,0.45,0.3,15,0.15,0.02,2.0,0.075,40,1.1407,0.0128
266,0.165,0.0068,0.078,0.45,0.1,15,0.15,0.06,2.0,0.075,40,0.6847,0.249
267,0.099,0.0204,0.026,0.75,0.1,15,0.15,0.02,2.0,0.225,40,0.7279,0.1009
268,0.099,0.0068,0.026,0.75,0.5,15,0.15,0.02,2.0,0.075,40,1.0843,0.0392
269,0.033,0.0204,0.078,0.75,0.1,15,0.15,0.02,2.0,0.225,40,0.3209,0.0441
270,0.033,0.034,0.078,0.75,0.1,9,0.15,0.1,2.0,0.075,40,1.0293,0.0329
271,0.099,0.0204,0.026,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.8653,0.0334
272,0.033,0.034,0.026,0.75,0.3,15,0.15,0.06,2.0,0.075,40,1.2263,0.0406
273,0.099,0.0068,0.078,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.8727,0.0821
274,0.099,0.0204,0.026,0.75,0.3,15,0.15,0.06,2.0,0.075,40,1.2087,0.0561
275,0.165,0.034,0.078,0.45,0.1,15,0.15,0.02,2.0,0.075,40,0.8769,0.0232
276,0.099,0.0204,0.13,0.75,0.1,15,0.15,0.02,2.0,0.075,40,0.8376,0.0402
277,0.033,0.0068,0.13,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.8009,0.1111
278,0.033,0.034,0.026,0.75,0.5,15,0.15,0.02,2.0,0.075,40,1.0897,0.0316
279,0.099,0.034,0.026,0.75,0.3,15,0.15,0.1,1.2,0.075,40,1.0837,0.0487
280,0.099,0.034,0.026,0.75,0.1,15,0.15,0.02,2.0,0.225,40,0.7694,0.0284
281,0.165,0.0068,0.078,0.45,0.1,15,0.15,0.1,2.0,0.075,40,0.8219,0.1558
282,0.165,0.0204,0.026,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.7834,0.0695
283,0.165,0.0068,0.026,0.75,0.3,15,0.15,0.1,2.0,0.075,40,1.1937,0.0327
284,0.099,0.0204,0.078,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.9511,0.1104
285,0.165,0.0204,0.13,0.75,0.1,15,0.15,0.02,2.0,0.075,40,0.8495,0.0175
286,0.033,0.034,0.026,0.75,0.1,15,0.15,0.1,2.0,0.225,40,0.7115,0.0455
287,0.165,0.034,0.078,0.75,0.1,9,0.15,0.1,2.0,0.075,40,0.9824,0.0173
288,0.165,0.034,0.026,0.75,0.3,9,0.15,0.1,2.0,0.075,40,1.1399,0.0301
289,0.165,0.034,0.078,0.75,0.1,15,0.15,0.06,2.0,0.075,40,0.665,0.1425
290,0.033,0.034,0.026,0.75,0.1,15,0.45,0.02,0.4,0.075,40,0.5922,0.055
291,0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,40,1.0004,0.0645
292,0.033,0.0068,0.078,0.75,0.1,15,0.45,0.02,1.2,0.075,40,0.7197,0.2695
293,0.033,0.0068,0.078,0.75,0.1,15,0.45,0.02,2.0,0.075,40,1.1127,0.0463
294,0.099,0.034,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,40,0.8959,0.075
295,0.033,0.0068,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.3423,0.0555
296,0.099,0.0204,0.026,0.75,0.1,15,0.45,0.06,1.2,0.075,40,0.9229,0.1169
297,0.099,0.0204,0.026,0.75,0.1,9,0.45,0.06,2.0,0.075,40,1.1256,0.0695
298,0.033,0.034,0.026,0.75,0.1,15,0.45,0.02,2.0,0.075,40,1.1702,0.0467
299,0.033,0.034,0.026,0.75,0.1,15,0.45,0.1,1.2,0.075,40,0.9638,0.0549
300,0.033,0.0204,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.4587,0.0301
301,0.033,0.0068,0.078,0.75,0.1,15,0.45,0.1,2.0,0.075,40,1.0536,0.0351
302,0.165,0.0204,0.026,0.75,0.1,15,0.75,0.02,2.0,0.075,40,1.265,0.0334
303,0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,0.9885,0.1153
304,0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.275,0.0586
305,0.033,0.0068,0.078,0.45,0.3,15,0.15,0.06,1.2,0.075,40,0.8605,0.246
306,0.033,0.0204,0.026,0.45,0.3,15,0.15,0.06,1.2,0.075,40,0.9576,0.2245
307,0.165,0.0068,0.026,0.75,0.1,9,0.15,0.02,2.0,0.075,40,0.956,0.0006
308,0.033,0.0068,0.026,0.75,0.5,15,0.15,0.02,1.2,0.225,40,0.9046,0.2097
309,0.033,0.0068,0.026,0.75,0.3,15,0.15,0.02,2.0,0.075,40,1.278,0.0175
310,0.033,0.0068,0.078,0.45,0.3,15,0.15,0.1,1.2,0.075,40,1.0598,0.0795
311,0.165,0.0068,0.026,0.75,0.3,9,0.15,0.02,2.0,0.075,40,1.37,0.1003
312,0.033,0.0204,0.026,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.27,0.0767
313,0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2.0,0.075,40,1.1724,0.0452
314,0.033,0.0204,0.026,0.75,0.1,9,0.15,0.1,2.0,0.075,40,1.0855,0.0916
315,0.033,0.0068,0.13,0.75,0.5,15,0.15,0.02,1.2,0.075,40,0.9729,0.0521
316,0.165,0.0068,0.078,0.45,0.5,15,0.15,0.02,1.2,0.075,40,0.9856,0.1182
317,0.033,0.0068,0.026,0.75,0.3,15,0.15,0.02,2.0,0.225,40,1.2681,0.0768
318,0.099,0.0068,0.078,0.45,0.5,15,0.15,0.06,1.2,0.075,40,0.831,0.3285
319,0.099,0.034,0.026,0.45,0.3,15,0.15,0.06,1.2,0.075,40,1.2207,0.0438
320,0.033,0.0204,0.026,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.577,0.014
321,0.033,0.034,0.078,0.75,0.1,9,0.15,0.06,2.0,0.075,40,1.1388,0.0182
322,0.033,0.0204,0.078,0.75,0.5,15,0.15,0.06,1.2,0.075,40,1.0706,0.0263
323,0.099,0.034,0.026,0.45,0.3,15,0.15,0.02,2.0,0.075,40,1.2661,0.0556
324,0.033,0.0204,0.078,0.75,0.3,15,0.15,0.02,2.0,0.075,40,1.0213,0.3077
325,0.033,0.034,0.026,0.45,0.3,15,0.15,0.02,2.0,0.225,40,1.271,0.0192
326,0.165,0.0204,0.026,0.45,0.3,15,0.15,0.1,1.2,0.075,40,1.082,0.2837
327,0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2.0,0.225,40,1.177,0.0276
328,0.099,0.034,0.078,0.75,0.3,9,0.15,0.02,2.0,0.075,40,1.3791,0.0656
329,0.033,0.034,0.078,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.4051,0.0159
330,0.165,0.0204,0.026,0.75,0.1,9,0.15,0.1,2.0,0.075,40,1.3045,0.0397
331,0.165,0.0068,0.13,0.75,0.5,15,0.15,0.02,1.2,0.075,40,0.9126,0.1249
332,0.033,0.0068,0.026,0.75,0.5,15,0.15,0.1,2.0,0.075,40,1.0899,0.1161
333,0.033,0.0204,0.13,0.75,0.3,15,0.15,0.02,2.0,0.075,40,1.006,0.1072
334,0.165,0.0068,0.13,0.45,0.3,15,0.15,0.02,2.0,0.075,40,0.9879,0.0852
335,0.165,0.0068,0.13,0.45,0.3,15,0.15,0.1,1.2,0.075,40,0.7943,0.1777
336,0.033,0.034,0.026,0.45,0.5,15,0.15,0.06,2.0,0.075,40,0.6993,0.1695
337,0.099,0.0068,0.026,0.45,0.5,15,0.15,0.1,2.0,0.075,40,1.0119,0.2601
338,0.099,0.034,0.026,0.75,0.3,15,0.15,0.1,1.2,0.075,40,0.991,0.2344
339,0.033,0.0204,0.078,0.75,0.3,9,0.15,0.1,2.0,0.225,40,0.7086,0.3056
340,0.033,0.034,0.13,0.75,0.3,15,0.15,0.1,1.2,0.075,40,0.8357,0.2398
341,0.033,0.0204,0.13,0.75,0.5,15,0.15,0.1,1.2,0.075,40,0.7406,0.1607
342,0.099,0.0204,0.13,0.75,0.5,15,0.15,0.02,1.2,0.225,40,0.8214,0.3025
343,0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,0.8347,0.1446
344,0.033,0.0204,0.026,0.75,0.3,15,0.15,0.1,2.0,0.225,40,1.217,0.069
345,0.165,0.0204,0.078,0.75,0.3,15,0.15,0.02,2.0,0.075,40,0.9963,0.3096
346,0.033,0.034,0.026,0.75,0.5,15,0.15,0.1,1.2,0.225,40,1.0457,0.0785
347,0.165,0.0068,0.026,0.75,0.3,15,0.15,0.06,2.0,0.225,40,0.8802,0.2109
348,0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2.0,0.075,40,1.0031,0.0844
349,0.165,0.0068,0.13,0.75,0.3,15,0.15,0.06,2.0,0.075,40,0.9729,0.03
350,0.165,0.034,0.078,0.75,0.5,15,0.15,0.02,1.2,0.225,40,0.9151,0.0892
351,0.165,0.0204,0.078,0.75,0.5,15,0.15,0.06,1.2,0.225,40,0.9039,0.044
352,0.165,0.034,0.078,0.75,0.3,15,0.15,0.02,2.0,0.075,40,1.1168,0.041
353,0.099,0.034,0.078,0.75,0.3,15,0.15,0.06,2.0,0.225,40,0.9319,0.1733
354,0.165,0.034,0.13,0.75,0.5,15,0.15,0.06,1.2,0.225,40,0.8348,0.0544
355,0.165,0.0204,0.078,0.75,0.5,15,0.15,0.1,2.0,0.075,40,0.916,0.0153
356,0.099,0.034,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40,0.8289,0.0334
357,0.099,0.0068,0.078,0.75,0.1,9,0.45,0.02,2.0,0.075,40,0.956,0.0079
358,0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.2471,0.0419
359,0.099,0.0068,0.078,0.75,0.3,15,0.45,0.02,1.2,0.075,40,1.1325,0.0421
360,0.099,0.0204,0.026,0.75,0.1,9,0.45,0.06,2.0,0.075,40,1.1749,0.0332
361,0.033,0.0204,0.078,0.75,0.3,9,0.45,0.02,2.0,0.075,40,0.1872,0.0097
362,0.033,0.0068,0.13,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.1216,0.0506
363,0.099,0.0068,0.026,0.75,0.1,15,0.45,0.06,2.0,0.075,40,1.0066,0.0245
364,0.165,0.0068,0.026,0.75,0.5,15,0.45,0.02,1.2,0.075,40,1.1605,0.0585
365,0.099,0.0068,0.078,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.2671,0.0061
366,0.099,0.0204,0.13,0.75,0.1,9,0.45,0.02,2.0,0.075,40,1.2337,0.0227
367,0.099,0.0204,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.3962,0.0786
368,0.099,0.0068,0.026,0.75,0.1,15,0.45,0.06,2.0,0.225,40,0.7022,0.0942
369,0.099,0.0204,0.026,0.45,0.3,15,0.45,0.06,2.0,0.075,40,0.4503,0.0039
370,0.099,0.0204,0.078,0.75,0.5,15,0.45,0.02,1.2,0.075,40,1.0168,0.0362
371,0.165,0.034,0.078,0.75,0.1,9,0.45,0.02,2.0,0.075,40,1.1473,0.0408
372,0.033,0.0204,0.13,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.1413,0.1436
373,0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.1408,0.0258
374,0.099,0.0204,0.078,0.75,0.1,15,0.45,0.02,2.0,0.225,40,0.6779,0.2465
375,0.165,0.0204,0.078,0.75,0.5,15,0.45,0.02,1.2,0.075,40,1.0454,0.0664
376,0.165,0.0068,0.078,0.75,0.3,15,0.45,0.1,1.2,0.075,40,1.1325,0.0233
377,0.099,0.0204,0.078,0.75,0.3,9,0.45,0.1,2.0,0.075,40,0.1526,0.0006
378,0.165,0.0204,0.026,0.75,0.3,9,0.45,0.1,2.0,0.075,40,0.2262,0.0125
379,0.033,0.0204,0.13,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.2142,0.0306
380,0.099,0.0204,0.13,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.1519,0.0759
381,0.099,0.0068,0.026,0.75,0.3,15,0.45,0.1,2.0,0.225,40,1.0917,0.3476
382,0.165,0.0068,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.968,0.033
383,0.165,0.0068,0.026,0.75,0.3,15,0.45,0.06,2.0,0.225,40,1.3755,0.0292
384,0.165,0.0204,0.078,0.75,0.3,15,0.45,0.1,1.2,0.075,40,1.1865,0.1048
385,0.165,0.034,0.026,0.75,0.3,15,0.45,0.06,1.2,0.225,40,0.9145,0.3214
386,0.165,0.034,0.078,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.3755,0.0345
387,0.099,0.034,0.13,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.246,0.0089
388,0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2.0,0.225,40,1.2172,0.0124
389,0.099,0.0068,0.078,0.75,0.3,15,0.45,0.1,2.0,0.225,40,1.06,0.4031
390,0.033,0.034,0.13,0.45,0.3,15,0.45,0.1,2.0,0.075,40,0.3561,0.0523
391,0.165,0.034,0.13,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.1528,0.0046
392,0.099,0.034,0.026,0.75,0.3,15,0.45,0.1,2.0,0.225,40,1.3062,0.1567
393,0.099,0.0204,0.078,0.75,0.3,15,0.45,0.1,2.0,0.225,40,0.9416,0.3356
394,0.165,0.034,0.13,0.75,0.1,15,0.45,0.02,2.0,0.225,40,0.7853,0.2176
395,0.033,0.0204,0.13,0.75,0.3,15,0.45,0.1,2.0,0.225,40,0.951,0.3132
396,0.099,0.034,0.13,0.75,0.1,15,0.45,0.1,2.0,0.225,40,0.7127,0.1955
397,0.099,0.0204,0.078,0.75,0.1,15,0.75,0.02,2.0,0.075,40,0.9192,0.0604
398,0.033,0.034,0.026,0.75,0.1,15,0.75,0.06,2.0,0.075,40,0.248,0.0593
399,0.033,0.0204,0.078,0.75,0.1,15,0.75,0.06,2.0,0.075,40,0.6398,0.2913
400,0.033,0.0204,0.026,0.75,0.1,15,0.75,0.06,2.0,0.225,40,0.5758,0.1724
401,0.033,0.0204,0.078,0.75,0.1,15,0.75,0.1,2.0,0.075,40,0.9071,0.0484
402,0.099,0.034,0.026,0.75,0.1,15,0.75,0.1,2.0,0.075,40,1.0797,0.099
403,0.165,0.034,0.078,0.75,0.1,15,0.75,0.06,2.0,0.075,40,0.3888,0.0237
404,0.099,0.034,0.13,0.75,0.1,15,0.75,0.1,2.0,0.075,40,1.08,0.0397
405,0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.1475,0.0206
406,0.033,0.0204,0.026,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.2372,0.0446
407,0.033,0.0068,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.1424,0.0378
408,0.033,0.0068,0.13,0.75,0.3,9,0.15,0.06,2.0,0.075,40,1.1168,0.052
409,0.033,0.0204,0.026,0.75,0.3,9,0.15,0.1,2.0,0.225,40,1.2983,0.1535
410,0.033,0.0204,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,0.9931,0.1211
411,0.099,0.0204,0.13,0.75,0.3,9,0.15,0.02,2.0,0.075,40,1.2072,0.0863
412,0.099,0.0068,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.1615,0.0576
413,0.099,0.0068,0.13,0.75,0.3,9,0.15,0.06,2.0,0.075,40,1.2099,0.1221
414,0.033,0.0068,0.13,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.1667,0.0302
415,0.165,0.0068,0.078,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.2088,0.0981
416,0.033,0.034,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.1788,0.049
417,0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2.0,0.075,40,1.21,0.0996
418,0.099,0.0204,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.1832,0.0805
419,0.099,0.0204,0.078,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.2621,0.0653
420,0.165,0.0068,0.13,0.75,0.3,9,0.15,0.06,2.0,0.075,40,1.1319,0.0502
421,0.033,0.0204,0.13,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.0504,0.073
422,0.165,0.034,0.026,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.2743,0.0544
423,0.099,0.034,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.2291,0.0647
424,0.165,0.034,0.13,0.75,0.3,9,0.15,0.02,2.0,0.075,40,1.1845,0.0717
425,0.099,0.034,0.026,0.75,0.3,9,0.15,0.1,2.0,0.225,40,1.369,0.053
426,0.033,0.034,0.13,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.2077,0.0915
427,0.165,0.0204,0.13,0.75,0.3,9,0.15,0.06,2.0,0.075,40,1.1686,0.1102
428,0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.1424,0.0502
429,0.165,0.034,0.078,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.2962,0.1582
430,0.099,0.0204,0.13,0.75,0.3,9,0.15,0.06,2.0,0.225,40,1.2093,0.1097
431,0.165,0.034,0.13,0.75,0.3,9,0.15,0.02,2.0,0.225,40,1.4462,0.1303
432,0.033,0.0204,0.026,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.6469,0.2578
433,0.033,0.0068,0.078,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.5488,0.235
434,0.033,0.0068,0.13,0.75,0.1,9,0.45,0.06,2.0,0.075,40,1.5692,0.1916
435,0.033,0.0204,0.026,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.5569,0.2929
436,0.099,0.0068,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.3978,0.1353
437,0.033,0.0204,0.078,0.75,0.1,15,0.45,0.02,2.0,0.075,40,1.1329,0.1515
438,0.033,0.034,0.026,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.9895,0.1521
439,0.099,0.0068,0.078,0.75,0.1,15,0.45,0.02,2.0,0.075,40,1.1029,0.0535
440,0.033,0.034,0.026,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.3654,0.071
441,0.033,0.0204,0.026,0.75,0.3,9,0.45,0.1,2.0,0.075,40,1.3274,0.0852
442,0.165,0.0068,0.13,0.75,0.1,9,0.45,0.02,2.0,0.075,40,1.0188,0.0549
443,0.033,0.0068,0.13,0.75,0.1,9,0.45,0.1,2.0,0.075,40,0.9959,0.0567
444,0.165,0.0068,0.078,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.3399,0.1095
445,0.033,0.0204,0.13,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.9933,0.2145
446,0.033,0.0068,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.9561,0.1188
447,0.099,0.0068,0.078,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.3114,0.0668
448,0.099,0.034,0.026,0.75,0.1,15,0.45,0.02,2.0,0.075,40,1.0316,0.2213
449,0.033,0.034,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.2133,0.0927
450,0.099,0.0068,0.026,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.3754,0.0862
451,0.099,0.0068,0.13,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.8546,0.2008
452,0.099,0.0068,0.078,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.926,0.2004
453,0.165,0.0068,0.13,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.2676,0.0737
454,0.033,0.0204,0.13,0.75,0.1,9,0.45,0.1,2.0,0.075,40,1.1363,0.0275
455,0.099,0.0204,0.13,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.2721,0.0422
456,0.033,0.0204,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.6093,0.0853
457,0.099,0.0204,0.078,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.783,0.1035
458,0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.207,0.0966
459,0.099,0.0204,0.13,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.713,0.0342
460,0.033,0.0204,0.078,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.9374,0.0472
461,0.033,0.034,0.078,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.0262,0.0309
462,0.099,0.0068,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.6,0.0582
463,0.099,0.0204,0.026,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.8204,0.0972
464,0.099,0.0068,0.078,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.8385,0.1379
465,0.165,0.034,0.026,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.7884,0.0794
466,0.099,0.0068,0.026,0.75,0.3,15,0.45,0.1,2.0,0.075,40,1.2456,0.0493
467,0.165,0.0204,0.026,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.6415,0.237
468,0.165,0.0204,0.13,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.2378,0.0629
469,0.165,0.034,0.078,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.2374,0.0855
470,0.099,0.034,0.13,0.75,0.3,9,0.45,0.02,2.0,0.075,40,0.9745,0.188
471,0.165,0.0068,0.13,0.75,0.3,9,0.45,0.02,2.0,0.225,40,1.0073,0.0826
472,0.033,0.034,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.5884,0.0117
473,0.099,0.034,0.078,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.5991,0.049
474,0.033,0.034,0.078,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.5912,0.0135
475,0.099,0.034,0.026,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.6722,0.1265
476,0.033,0.0204,0.13,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.6157,0.0861
477,0.099,0.0204,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.6946,0.1044
478,0.099,0.0204,0.078,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.6857,0.053
479,0.165,0.0204,0.026,0.75,0.3,15,0.45,0.02,2.0,0.225,40,1.1356,0.0159
480,0.099,0.034,0.026,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.1632,0.0877
481,0.099,0.034,0.078,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.0888,0.0468
482,0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2.0,0.225,40,1.1365,0.0306
483,0.033,0.034,0.078,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.068,0.0503
484,0.165,0.034,0.026,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.1688,0.0652
485,0.165,0.034,0.026,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.7619,0.0659
486,0.033,0.034,0.13,0.75,0.3,15,0.45,0.02,2.0,0.075,40,1.0103,0.0387
487,0.165,0.0204,0.026,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.1858,0.091
488,0.165,0.0204,0.078,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.8664,0.0914
489,0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2.0,0.075,40,1.1457,0.0498
490,0.165,0.0204,0.026,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.7111,0.0943
491,0.165,0.0068,0.078,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.1061,0.0717
492,0.165,0.034,0.13,0.75,0.3,9,0.45,0.02,2.0,0.075,40,1.0243,0.1124
493,0.165,0.0204,0.13,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.0889,0.0746
494,0.165,0.0204,0.13,0.75,0.3,9,0.45,0.02,2.0,0.225,40,1.1436,0.0322
495,0.033,0.034,0.13,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.6376,0.0259
496,0.165,0.034,0.026,0.75,0.3,15,0.45,0.02,2.0,0.225,40,1.1479,0.0467
497,0.165,0.034,0.026,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.7513,0.122
498,0.165,0.034,0.026,0.75,0.3,15,0.45,0.06,2.0,0.075,40,1.1068,0.0754
499,0.099,0.034,0.026,0.75,0.3,15,0.45,0.1,2.0,0.075,40,1.0483,0.1169
500,0.165,0.034,0.13,0.75,0.1,15,0.45,0.02,2.0,0.075,40,0.729,0.0982
501,0.165,0.0204,0.078,0.75,0.1,15,0.45,0.1,2.0,0.075,40,0.729,0.0354
502,0.165,0.034,0.13,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.2582,0.0228
503,0.165,0.034,0.13,0.75,0.1,15,0.45,0.06,2.0,0.075,40,0.7214,0.1036
504,0.165,0.034,0.026,0.75,0.3,15,0.45,0.1,2.0,0.075,40,1.1188,0.0538
505,0.165,0.0068,0.026,0.75,0.1,15,0.75,0.06,2.0,0.075,40,0.8651,0.1333
506,0.033,0.0068,0.13,0.75,0.1,15,0.75,0.1,2.0,0.075,40,0.7869,0.0742
507,0.033,0.0204,0.026,1.5,0.1,9,0.15,0.06,4.0,0.075,80,1.2841,0.3151
508,0.099,0.0204,0.026,1.5,0.1,9,0.15,0.02,4.0,0.075,80,1.7952,0.4336
509,0.033,0.0068,0.026,1.5,0.5,9,0.15,0.02,4.0,0.075,80,1.2024,0.057
510,0.099,0.0068,0.078,1.5,0.1,9,0.15,0.02,4.0,0.075,80,1.8168,0.5051
511,0.165,0.0068,0.026,1.5,0.1,9,0.15,0.06,4.0,0.075,80,2.1345,0.2695
512,0.165,0.0068,0.026,1.5,0.3,9,0.15,0.02,4.0,0.075,80,1.6957,0.0971
513,0.099,0.0068,0.026,1.5,0.1,9,0.15,0.06,4.0,0.225,80,1.8942,0.5132
514,0.165,0.034,0.026,1.5,0.1,9,0.15,0.02,4.0,0.075,80,1.9346,0.1713
515,0.099,0.034,0.026,1.5,0.3,9,0.15,0.02,4.0,0.075,80,2.1699,0.1277
516,0.165,0.0204,0.078,1.5,0.1,9,0.15,0.02,4.0,0.075,80,2.1071,0.5427
517,0.033,0.034,0.078,1.5,0.1,9,0.15,0.02,4.0,0.225,80,1.9272,0.3773
518,0.099,0.034,0.026,1.5,0.3,9,0.15,0.06,4.0,0.075,80,2.0607,0.3014
519,0.165,0.0204,0.026,1.5,0.3,9,0.15,0.06,4.0,0.075,80,1.5186,0.212
520,0.099,0.0204,0.026,1.5,0.5,9,0.15,0.06,4.0,0.075,80,1.2532,0.0571
521,0.033,0.034,0.078,1.5,0.1,9,0.15,0.1,4.0,0.075,80,1.9692,0.3839
522,0.165,0.0068,0.078,1.5,0.1,9,0.15,0.1,4.0,0.075,80,1.9736,0.4812
523,0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4.0,0.075,80,1.6375,0.0248
524,0.165,0.0068,0.078,1.5,0.5,9,0.15,0.02,4.0,0.075,80,1.3485,0.1674
